#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_hero;the Hero;;;;;;;;;;;;;x
nick_the_archsage;the Archsage;;;;;;;;;;;;;x
nick_the_little_knight;the Little Knight;;;;;;;;;;;;;x
nick_the_holy_knight;the Holy Knight;;;;;;;;;;;;;x
nick_the_berserker;the Berserker;;;;;;;;;;;;;x
nick_the_divine_trooper;the Divine Trooper;;;;;;;;;;;;;x
nick_the_enigma;the Enigma;;;;;;;;;;;;;x

nick_the_white_wolf;the White Wolf;;;;;;;;;;;;;x
nick_the_mad_dog;the Mad Dog;;;;;;;;;;;;;x
nick_the_hurricane;the Hurricane;;;;;;;;;;;;;x
nick_the_blue_crow;the Blue Crow;;;;;;;;;;;;;x
nick_the_angel_of_death;the Angel of Death;;;;;;;;;;;;;x
nick_the_soaring_hawk;the Soaring Hawk;;;;;;;;;;;;;x
nick_the_shadow_hawk;the Shadow Hawk;;;;;;;;;;;;;x
nick_the_owl;the Owl;;;;;;;;;;;;;x
nick_the_shrike;the Shrike;;;;;;;;;;;;;x
nick_the_death_kite;the Death Kite;;;;;;;;;;;;;x
nick_the_stone_giant;the Stone Giant;;;;;;;;;;;;;x
nick_the_blood_freezer;the Blood-Freezer;;;;;;;;;;;;;x

nick_the_beast;the Beast;;;;;;;;;;;;;x
nick_raven;Raven;;;;;;;;;;;;;x
nick_dart;Dart;;;;;;;;;;;;;x
nick_the_mountain_hermit;the Mountain Hermit;;;;;;;;;;;;;x
nick_the_impervious;the Impervious;;;;;;;;;;;;;x
nick_the_fierce_eagle;the Fierce Eagle;;;;;;;;;;;;;x
nick_the_viper;the Viper;;;;;;;;;;;;;x
nick_the_silver_wolf;the Silver Wolf;;;;;;;;;;;;;x
nick_the_sword_demon;the Sword Demon;;;;;;;;;;;;;x
nick_the_saint_of_swords;the Saint of Swords;;;;;;;;;;;;;x
nick_the_princess_of_swords;the Princess of Swords;;;;;;;;;;;;;x
nick_the_white_devil;the White Devil;;;;;;;;;;;;;x
