severe_winter = {
	# Calach
#	36 37 38 39 40 41 42 43 44 45 47 48 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64 65 66 67 68 
	36
	37
	38
	39
	40
	41
	42
	43
	45
	46
	47
	48
	49
	50
	51
	52
	53
	55
	56
	57
	58
	59
	60
	61
	62
	63
	64
	# ELIBE / Ilia
#	252 255 257 258 259 260 261 262 265 266 267 268 272 274 279 280 282 
	248
	251
	252
	253
	255
	256
	257
	258
	261
	262
	263
	264
	268
	270
	271
	275
	276
	278
}
normal_winter = {
	# Calach
#	46 56 
	44
	54
	# ELIBE / Bern
#	5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
	5
	6
	7
	8
	9
	10
	11
	12
	13
	14
	15
	16
	17
	18
	19
	20
	21
	22
	23
	24
	25
	26
	27
	28
	29
	30
	31
	32
	33
	34
	35
	# ELIBE / Ilia
#	248 249 250 251 253 254 256 263 264 269 270 271 273 275 276 277 278 281 283 284 285 
	244
	245
	246
	247
	249
	250
	254
	259
	260
	265
	266
	267
	269
	272
	273
	274
	277
	279
	280
	281
	# ELIBE / Lycia
#	107 112 115 
	103
	108
	111
	# ELIBE / Sacae
#	206 207 
	202
	203
	# Terina
#	69 70 71 73 74 75 76 77 79 80 81 
	65
	66
	67
	69
	70
	71
	72
	73
	75
	76
	77
	# The Taliver Mountains
#	185 186 187 188 189 190 191 
	181
	182
	183
	184
	185
	186
	187
}
mild_winter = {
	# ELIBE / Etruria
#	212 213 229 238 239 240 241 242 243 244 245 246 247 
	208
	209
	225
	234
	235
	236
	237
	238
	239
	240
	241
	242
	243
	# ELIBE / Lycia
#	82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 108 109 110 111 113 114 116 117 118 119 
	78
	79
	80
	81
	82
	83
	84
	85
	86
	87
	88
	89
	90
	91
	92
	93
	94
	95
	96
	97
	98
	99
	100
	101
	102
	104
	105
	106
	107
	109
	110
	112
	113
	114
	115
	# ELIBE / Sacae
#	192 193 196 197 198 199 200 201 202 203 204 205 208 209 
	188
	189
	192
	193
	194
	195
	196
	197
	198
	199
	200
	201
	204
	205
	# ELIBE / The Western Isles
#	165 
	161
}

